"","long","lat","group","feature"
"6293","-80.4849846","36.8545592","1","Water Body"
"6294","-80.484971","36.8546581","1","Water Body"
"6295","-80.48493","36.8547021","1","Water Body"
"6296","-80.4848616","36.8547129","1","Water Body"
"6297","-80.4846837","36.8545868","1","Water Body"
"6298","-80.4846563","36.8544934","1","Water Body"
"6299","-80.4846699","36.8544384","1","Water Body"
"6300","-80.4847246","36.8543943","1","Water Body"
"6301","-80.4848751","36.8543724","1","Water Body"
"6417","-80.4826026","36.9523877","1","Water Body"
"6418","-80.4826095","36.9523328","1","Water Body"
"6419","-80.4828491","36.9522503","1","Water Body"
"6420","-80.4829725","36.9524865","1","Water Body"
"6421","-80.4829588","36.9525634","1","Water Body"
"6422","-80.4829382","36.9526017","1","Water Body"
"6423","-80.4828424","36.952591","1","Water Body"
"6424","-80.4827534","36.9525415","1","Water Body"
"6425","-80.4826026","36.9523877","1","Water Body"
"6426","-80.4822612","36.8755004","1","Water Body"
"6427","-80.482275","36.875462","1","Water Body"
"6428","-80.4824732","36.8754124","1","Water Body"
"6429","-80.4825143","36.8754343","1","Water Body"
"6430","-80.4826444","36.8756046","1","Water Body"
"6431","-80.4825213","36.8756706","1","Water Body"
"6432","-80.4822612","36.8755004","1","Water Body"
"6503","-80.4811565","36.8571598","1","Water Body"
"6504","-80.4809855","36.8571324","1","Water Body"
"6505","-80.4806094","36.85716","1","Water Body"
"6506","-80.4805341","36.8571381","1","Water Body"
"6507","-80.4804657","36.8570611","1","Water Body"
"6508","-80.4805067","36.8569843","1","Water Body"
"6509","-80.4806571","36.8568852","1","Water Body"
"6510","-80.4808622","36.8567972","1","Water Body"
"6511","-80.4809853","36.8567642","1","Water Body"
"6512","-80.4812041","36.8567532","1","Water Body"
"6513","-80.4812999","36.856841","1","Water Body"
"6514","-80.4813","36.8570389","1","Water Body"
"6515","-80.4812384","36.8571488","1","Water Body"
"6516","-80.4811565","36.8571598","1","Water Body"
"6639","-80.4762268","36.8874765","1","Water Body"
"6640","-80.4761584","36.8875259","1","Water Body"
"6641","-80.4752621","36.8873229","1","Water Body"
"6642","-80.4751389","36.887268","1","Water Body"
"6643","-80.4750567","36.8870482","1","Water Body"
"6644","-80.4750087","36.8867679","1","Water Body"
"6645","-80.4750497","36.8866691","1","Water Body"
"6646","-80.4751045","36.8866032","1","Water Body"
"6647","-80.4756721","36.8863282","1","Water Body"
"6648","-80.4757884","36.8863337","1","Water Body"
"6649","-80.4762195","36.8867345","1","Water Body"
"6650","-80.4762401","36.8868719","1","Water Body"
"6651","-80.4764524","36.8872016","1","Water Body"
"6652","-80.4764524","36.8872511","1","Water Body"
"6653","-80.4762268","36.8874765","1","Water Body"
"6878","-80.4695838","36.741422","1","Water Body"
"6879","-80.4697204","36.7414768","1","Water Body"
"6880","-80.4697341","36.7415043","1","Water Body"
"6881","-80.4696931","36.7415648","1","Water Body"
"6882","-80.4695975","36.7415868","1","Water Body"
"6883","-80.46942","36.7415648","1","Water Body"
"6884","-80.4693517","36.7414879","1","Water Body"
"6885","-80.4693653","36.741455","1","Water Body"
"6886","-80.4695838","36.741422","1","Water Body"
"6902","-80.4695399","36.8635653","1","Water Body"
"6903","-80.4696084","36.8636093","1","Water Body"
"6904","-80.4696358","36.8636861","1","Water Body"
"6905","-80.4696084","36.8637851","1","Water Body"
"6906","-80.4695401","36.8638511","1","Water Body"
"6907","-80.4694443","36.8638731","1","Water Body"
"6908","-80.469376","36.8638621","1","Water Body"
"6909","-80.4692117","36.8637193","1","Water Body"
"6910","-80.4692254","36.8636533","1","Water Body"
"6911","-80.4692938","36.8635984","1","Water Body"
"6912","-80.4693895","36.8635654","1","Water Body"
"6913","-80.4695399","36.8635653","1","Water Body"
"7109","-80.4647527","36.7687854","1","Water Body"
"7110","-80.4649028","36.7688129","1","Water Body"
"7111","-80.4649711","36.7688568","1","Water Body"
"7112","-80.4650396","36.7689227","1","Water Body"
"7113","-80.4650668","36.7690107","1","Water Body"
"7114","-80.4650396","36.7690656","1","Water Body"
"7115","-80.4649166","36.7691811","1","Water Body"
"7116","-80.4646161","36.7694009","1","Water Body"
"7117","-80.4643976","36.7694998","1","Water Body"
"7118","-80.4642611","36.7695219","1","Water Body"
"7119","-80.4641107","36.7695219","1","Water Body"
"7120","-80.4639331","36.7694339","1","Water Body"
"7121","-80.463769","36.7692912","1","Water Body"
"7122","-80.4637282","36.7692143","1","Water Body"
"7123","-80.4637144","36.7691264","1","Water Body"
"7124","-80.4637554","36.7690714","1","Water Body"
"7125","-80.4638237","36.7690274","1","Water Body"
"7126","-80.4641379","36.7689064","1","Water Body"
"7127","-80.4643018","36.7688624","1","Water Body"
"7128","-80.464534","36.7688074","1","Water Body"
"7129","-80.4647527","36.7687854","1","Water Body"
"7186","-80.4629173","36.7768528","1","Water Body"
"7187","-80.4630813","36.7769296","1","Water Body"
"7188","-80.4631633","36.7769956","1","Water Body"
"7189","-80.4631634","36.7770946","1","Water Body"
"7190","-80.4630404","36.7772265","1","Water Body"
"7191","-80.4629175","36.7772924","1","Water Body"
"7192","-80.4628355","36.7772485","1","Water Body"
"7193","-80.4627944","36.7771606","1","Water Body"
"7194","-80.4627535","36.7769957","1","Water Body"
"7195","-80.4627808","36.7769077","1","Water Body"
"7196","-80.4628354","36.7768529","1","Water Body"
"7197","-80.4629173","36.7768528","1","Water Body"
"7929","-80.4514491","36.7912247","1","Water Body"
"7930","-80.4515038","36.7913016","1","Water Body"
"7931","-80.451538","36.7914609","1","Water Body"
"7932","-80.4515106","36.7914774","1","Water Body"
"7933","-80.4514355","36.7914334","1","Water Body"
"7934","-80.4514081","36.7912686","1","Water Body"
"7935","-80.4514491","36.7912247","1","Water Body"
"7936","-80.4513402","36.7945712","1","Water Body"
"7937","-80.4514769","36.7946592","1","Water Body"
"7938","-80.4515179","36.7947251","1","Water Body"
"7939","-80.4514973","36.7947526","1","Water Body"
"7940","-80.4514564","36.7947526","1","Water Body"
"7941","-80.4513471","36.7947086","1","Water Body"
"7942","-80.4512855","36.7946482","1","Water Body"
"7943","-80.4512924","36.7945823","1","Water Body"
"7944","-80.4513402","36.7945712","1","Water Body"
"7962","-80.4507891","36.9293605","1","Water Body"
"7963","-80.4507002","36.9293604","1","Water Body"
"7964","-80.4506865","36.9293001","1","Water Body"
"7965","-80.450707","36.9292396","1","Water Body"
"7966","-80.4507549","36.9292011","1","Water Body"
"7967","-80.4508096","36.9291956","1","Water Body"
"7968","-80.4508849","36.9292451","1","Water Body"
"7969","-80.4509123","36.929322","1","Water Body"
"7970","-80.4507891","36.9293605","1","Water Body"
"7971","-80.4503256","36.9498242","1","Water Body"
"7972","-80.4505791","36.9499231","1","Water Body"
"7973","-80.4503943","36.9503407","1","Water Body"
"7974","-80.4503395","36.9503462","1","Water Body"
"7975","-80.45023","36.9502857","1","Water Body"
"7976","-80.4501957","36.9502199","1","Water Body"
"7977","-80.4501889","36.950143","1","Water Body"
"7978","-80.4501204","36.95","1","Water Body"
"7979","-80.4501957","36.9498132","1","Water Body"
"7980","-80.4502574","36.9498077","1","Water Body"
"7981","-80.4503256","36.9498242","1","Water Body"
"8053","-80.4495431","36.8699597","1","Water Body"
"8054","-80.4496115","36.8700147","1","Water Body"
"8055","-80.4496115","36.8700807","1","Water Body"
"8056","-80.4495021","36.8701576","1","Water Body"
"8057","-80.4493652","36.8701796","1","Water Body"
"8058","-80.4493242","36.8701247","1","Water Body"
"8059","-80.4493925","36.8700038","1","Water Body"
"8060","-80.4494473","36.8699707","1","Water Body"
"8061","-80.4495431","36.8699597","1","Water Body"
"8262","-80.4451358","36.7911098","1","Water Body"
"8263","-80.4451631","36.7911867","1","Water Body"
"8264","-80.4451494","36.7912636","1","Water Body"
"8265","-80.4450606","36.7913187","1","Water Body"
"8266","-80.4449308","36.7911977","1","Water Body"
"8267","-80.4449034","36.7911098","1","Water Body"
"8268","-80.444958","36.7910659","1","Water Body"
"8269","-80.4451358","36.7911098","1","Water Body"
"8590","-80.4393425","36.7666507","1","Water Body"
"8591","-80.4394108","36.7667057","1","Water Body"
"8592","-80.4393288","36.7668046","1","Water Body"
"8593","-80.4392194","36.7668595","1","Water Body"
"8594","-80.4390965","36.7668266","1","Water Body"
"8595","-80.4389736","36.7667497","1","Water Body"
"8596","-80.4390282","36.7666947","1","Water Body"
"8597","-80.4391785","36.7666618","1","Water Body"
"8598","-80.4393425","36.7666507","1","Water Body"
"8599","-80.4390692","36.9622712","1","Water Body"
"8600","-80.4391308","36.9622658","1","Water Body"
"8601","-80.4392746","36.9623262","1","Water Body"
"8602","-80.4392678","36.9623647","1","Water Body"
"8603","-80.4391925","36.9624197","1","Water Body"
"8604","-80.4390897","36.9624471","1","Water Body"
"8605","-80.4390212","36.9623921","1","Water Body"
"8606","-80.4390212","36.9623372","1","Water Body"
"8607","-80.4390692","36.9622712","1","Water Body"
"8689","-80.4373096","36.9576335","1","Water Body"
"8690","-80.4373096","36.9575565","1","Water Body"
"8691","-80.4374603","36.9574742","1","Water Body"
"8692","-80.4375493","36.9574686","1","Water Body"
"8693","-80.4376247","36.95765","1","Water Body"
"8694","-80.4375972","36.9577323","1","Water Body"
"8695","-80.4375012","36.9578038","1","Water Body"
"8696","-80.4373986","36.9578038","1","Water Body"
"8697","-80.4373096","36.9576335","1","Water Body"
"8698","-80.4367113","36.9909005","1","Water Body"
"8699","-80.4366359","36.9905928","1","Water Body"
"8700","-80.4366839","36.9904993","1","Water Body"
